                                                                                           ,,,"Spring 2025 Final Exam Schedule
Updated April 30, 2025",,,,,
"Note: If you have a conflict, please speak to your instructors. All conflicts must be resolved between the instructors and the student.",,,,,,,,
"To filter data, click the drop-down arrow on the column you want to filter: 
- Use the search box to find specific values.
- Check or uncheck boxes next to the values you want to filter.
- Select ""Add current selection to filter"" to add to your class list.
If you can't find your class, try typing the first few letters, and it should show up in the filter selection.",,,,,,,,
,,,,,,,,
Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,ARCH 161 W02,Global Hist of Architecture I,Jung,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 136",Long Island
Spring 2025,ARCH 161 W03,Global Hist of Architecture I,Justo Caldeira Zuliani,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 135",Long Island
Spring 2025,ARCH 202 M01,Architectural Design II,Brahmbhatt,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 M02,Architectural Design II,Wood,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 M03,Architectural Design II,LaSota,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 M04,Architectural Design II,Acosta Perez,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 M05,Architectural Design II,Sepulveda,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 M06,Architectural Design II,Davila,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 M07,Architectural Design II,Bailey,"Thursday, May 15, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 202 W01,Architectural Design II,Cumella,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Spring 2025,ARCH 202 W02,Architectural Design II,Khan,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Spring 2025,ARCH 202 W03,Architectural Design II,Manninger,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Spring 2025,ARCH 202 W04,Architectural Design II,Melis,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Spring 2025,ARCH 202 W05,Architectural Design II,Lorenzo-Eiroa,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 135",Long Island
Spring 2025,ARCH 211 M01,Statics & Strength of Material,Ford,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"26 W. 61st St., Rm. 410",New York City
Spring 2025,ARCH 211 M02,Statics & Strength of Material,Stephani,"Monday, May 12, 2025",6:00 PM,9:00 PM,Zoom,New York City
Spring 2025,ARCH 211 M03,Statics & Strength of Material,Tejeda,"Thursday, May 15, 2025",6:00 PM,9:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,ARCH 211 M04,Statics & Strength of Material,Tejeda,"Monday, May 12, 2025",6:00 PM,9:00 PM,Zoom,New York City
Spring 2025,ARCH 211 W01,Statics & Strength of Material,Nabatian,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 136",Long Island
Spring 2025,ARCH 211 W02,Statics & Strength of Material,Defelice,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 135",Long Island
Spring 2025,ARCH 222 M01,Building Construction II,Ford,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1013",New York City
Spring 2025,ARCH 222 M02,Building Construction II,Sepulveda,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1120",New York City
Spring 2025,ARCH 222 M03,Building Construction II,Lantigua Inoa,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,Zoom,New York City
Spring 2025,ARCH 222 W01,Building Construction II,Theodoridis,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 136",Long Island
Spring 2025,ARCH 222 W02,Building Construction II,Snell,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 138",Long Island
Spring 2025,ARCH 222 W03,Building Construction II,Purisic,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 135",Long Island
Spring 2025,ARCH 291 M01,Sp Stds Arch,Eray,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,Zoom,New York City
Spring 2025,ARCH 302 M01,Architectural Design IV,Brens,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 302 M02,Architectural Design IV,Engelsman,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 302 M03,Architectural Design IV,Kennedy,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 302 M04,Architectural Design IV,Dinatale Scotto,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 302 M05,Architectural Design IV,Cianfaglione,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,ARCH 302 W01,Architectural Design IV,Campani,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 137",Long Island
Spring 2025,ARCH 302 W02,Architectural Design IV,Papazian,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 134",Long Island
Spring 2025,ARCH 302 W03,Architectural Design IV,Purisic,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 140",Long Island
Spring 2025,ARCH 302 W04,Architectural Design IV,Cataldo,"Friday, May 16, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 138",Long Island
Spring 2025,ARCH 310 M01,Structural Design,Karacoban,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 927",New York City
Spring 2025,ARCH 310 M02,Structural Design,Camacho,"Thursday, May 15, 2025",6:00 PM,9:00 PM,Zoom,New York City
Spring 2025,ARCH 310 W01,Structural Design,Stephani,"Wednesday, May 14, 2025",6:00 PM,9:00 PM,Zoom,Long Island
Spring 2025,ARCH 325 M01,Environmental Systems II,Thomas,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,Zoom,New York City
Spring 2025,ARCH 325 M02,Environmental Systems II,Buchheit,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 706",New York City
Spring 2025,ARCH 325 M03,Environmental Systems II,Dresdner,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 409",New York City
Spring 2025,ARCH 325 M04,Environmental Systems II,Kirschman,"Wednesday, May 14, 2025",6:00 PM,9:00 PM,Zoom,New York City
Spring 2025,ARCH 325 W01,Environmental Systems II,Theodoridis,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 136",Long Island
